ID,Recommendation ID,ReviewID,Steam ID,Persona Name,Persona Status,Profile URL,Number of Games Owned,Number of Reviews,Playtime Forever,Playtime Last Two Weeks,Playtime at Review,Last Played,Avatar URL,Full Avatar Url,Recommendation URL,Language,Review Text,Date Created,Date Updated,Vote,Votes Up,Votes Funny,Weighted Vote Score,Comment Count,Steam Purchase,Received for Free,Refunded,Written During Early Access,Developer Response,Primarily Steam Deck,Clever,Warm Blanket,Saucy,Slow Clap,Take My Points,Wholesome,Jester,Fancy Pants,Whoa,Super Star,Wild,Winner,Beautiful,Helpful,Fire,Funny,One Hundred,Life Saver,Perfect,Plus One,Smart,Pure Gold,ReviewID,Manufacturer,Model,DX Video Card,DX Vendor ID,DX Device ID,Num GPU,System RAM,Operating System,CPU Vendor,CPU Name,Gaming Device Type,DX Driver Version,Adapter Description,Driver Version,Driver Date,VRAM Size,Screen Width,Screen Height,Precise Frame Rate
1,230496701,1,76561198092154753,d.draper,online,https://steamcommunity.com/profiles/76561198092154753/,577,21,494,0,494,07/22/2025 14:01:22,fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb,https://avatars.akamai.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/profiles/76561198092154753/recommended/2351890/,english,"Quirky game, I enjoyed it.",07/15/2026 02:42:38,07/15/2026 02:42:38,positive,0,0,0.5,0,True,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2,226353432,2,76561199229350642,kelpze,offline,https://steamcommunity.com/profiles/76561199229350642/,91,10,1187,0,1187,05/24/2026 05:16:34,d529e0ec3fc865a386e92bea40aedfa5e3e8c9c3,https://avatars.akamai.steamstatic.com/d529e0ec3fc865a386e92bea40aedfa5e3e8c9c3_full.jpg,https://steamcommunity.com/profiles/76561199229350642/recommended/2351890/,english,"you know those crappy mobile games where there's plenty of zombies coming and you have to kill them for exp, eventually getting perks to help more and more as you go on? yeah this is one of those games, but with actual love and effort and time in it. fantastic game and a real good challenge to 100%.",05/25/2026 03:06:43,05/25/2026 03:06:43,positive,0,0,0.4761904776096344,1,True,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3,224339784,3,76561198367471798,xxadonisxx,in-game,https://steamcommunity.com/id/xxadonisxx/,32666,27142,700,0,700,04/28/2026 22:23:38,07febd45da78f9257ae94745f864220b93e1efa2,https://avatars.akamai.steamstatic.com/07febd45da78f9257ae94745f864220b93e1efa2_full.jpg,https://steamcommunity.com/profiles/76561198367471798/recommended/2351890/,english,"BloodDome99, developed and published by Halftone Gaming, is a frantic arena shooter that blends twin-stick action with roguelite progression, all wrapped in a satirical, dystopian game show premise. It presents a world where survival is entertainment and contestants are thrown into a brutal spectacle for the amusement of unseen audiences. While the narrative elements remain largely in the background, they provide enough flavor to give context to the relentless combat, turning what could have been a purely mechanical experience into something with a bit more personality.

The gameplay is built around surviving waves of enemies in confined arenas, where movement and positioning are just as important as firepower. Players control their character with responsive twin-stick controls, weaving through incoming attacks while unleashing a constant stream of damage. The pacing is immediate and unforgiving, with little downtime between encounters. Each run escalates quickly, pushing players to adapt to increasing chaos as enemy numbers grow and attack patterns become more complex. This creates a constant sense of pressure that defines the core experience.

What adds depth to this structure is the roguelite progression system. As players fight through waves, they collect currency and upgrades that shape their build for that run. The game offers a wide selection of weapons and perks, allowing for a range of playstyles. Some combinations focus on raw damage output, while others emphasize survivability or crowd control. This flexibility encourages experimentation, as different builds can dramatically change how a run unfolds. The ability to carry multiple weapons at once further expands this system, creating opportunities for synergy and strategic layering.

A notable aspect of the game is how it handles resource management within each run. Players must decide whether to spend their earnings on immediate upgrades or save toward long-term objectives, such as progressing further or unlocking escape conditions. This introduces a subtle but meaningful layer of decision-making, adding tension beyond the moment-to-moment combat. It is not just about surviving the next wave, but about managing resources in a way that supports overall progress.

The visual presentation leans heavily into a retro-inspired aesthetic, combining pixel art with neon highlights to create a vibrant, chaotic atmosphere. The arenas are filled with exaggerated effects, from explosive weapon impacts to swarms of enemies, all designed to keep the action visually engaging. The soundtrack complements this with energetic, fast-paced tracks that reinforce the intensity of the gameplay. Together, these elements create a cohesive style that feels both nostalgic and modern.

Despite its strengths, the game does have limitations that become more noticeable over time. The core loop, while highly engaging in short bursts, does not change significantly as players progress. Runs follow a similar structure, and while the variety of weapons and upgrades adds some diversity, the overall experience can begin to feel repetitive during longer sessions. Balance can also be uneven, with certain builds proving far more effective than others, which may reduce the incentive to experiment once optimal strategies are discovered.

The difficulty curve is another defining feature. The game quickly ramps up the challenge, requiring fast reflexes and constant awareness. For players familiar with the genre, this creates a satisfying test of skill, but it can be overwhelming for newcomers. The lack of a more gradual introduction means that early failures are common, though the quick restart loop helps maintain momentum and encourages repeated attempts.

Ultimately, BloodDome99 succeeds in delivering a focused and energetic experience that captures the essence of arcade-style shooters while incorporating modern progression systems. It does not attempt to expand beyond its core idea, instead refining it into a tight, replayable loop that emphasizes action and adaptability. Its strengths lie in its pacing, customization, and visual identity, even if its structure remains relatively narrow.

In the end, it stands as an engaging and well-executed entry in the arena shooter space, offering fast, chaotic gameplay that rewards persistence and experimentation. While it may not sustain long-term variety for every player, it provides a consistently entertaining experience for those who enjoy skill-driven, repeatable challenges.

Rating: 8/10",04/29/2026 09:08:16,04/29/2026 09:08:16,positive,0,1,0.5,0,True,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4,221878304,4,76561198178236835,trevormounts,offline,https://steamcommunity.com/profiles/76561198178236835/,0,13,2126,0,106,08/04/2026 08:18:54,fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb,https://avatars.akamai.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/profiles/76561198178236835/recommended/2351890/,english,Somewhere between Vampire Survivors and Smash TV with an 80's computer vibe. Had a ton of fun with it so far and could see myself logging a lot of hours. This absolutely runs on my mac Mini 4 w/Sonoma - not sure why it says otherwise when in my library.,03/28/2026 02:39:58,03/28/2026 02:39:58,positive,0,0,0.5,0,True,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
5,213382897,5,76561198028495709,feillyne,offline,https://steamcommunity.com/id/feillyne/,2302,632,341,0,259,12/20/2025 22:04:40,ac01a4befd11fcbf645664ad52f21d1a83a26f93,https://avatars.akamai.steamstatic.com/ac01a4befd11fcbf645664ad52f21d1a83a26f93_full.jpg,https://steamcommunity.com/profiles/76561198028495709/recommended/2351890/,english,"Nice, but extremely slow-paced compared to all other horde survivors games i've played...",12/15/2025 23:30:11,12/15/2025 23:30:11,positive,0,0,0.5,0,True,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,208222626,6,76561198283279404,Shrimp,offline,https://steamcommunity.com/profiles/76561198283279404/,169,16,594,0,68,09/09/2026 19:47:32,b4003c9561c530b7b286187517dcfb9a33534fa3,https://avatars.akamai.steamstatic.com/b4003c9561c530b7b286187517dcfb9a33534fa3_full.jpg,https://steamcommunity.com/profiles/76561198283279404/recommended/2351890/,english,I fw it,11/02/2025 13:46:01,11/02/2025 13:46:01,positive,1,2,0.523809552192688,0,False,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
7,207442420,7,76561198063089140,marcus1503YT,offline,https://steamcommunity.com/id/marcus1503YT/,1190,217,18,0,18,05/11/2025 12:21:15,4435215f55b5e6c10fe339afcabae36986fdb1fa,https://avatars.akamai.steamstatic.com/4435215f55b5e6c10fe339afcabae36986fdb1fa_full.jpg,https://steamcommunity.com/profiles/76561198063089140/recommended/2351890/,german,"Na ja, ist ganz okay.",10/24/2025 08:42:37,10/24/2025 08:42:37,positive,0,0,0.41818755865097046,0,True,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
8,206988657,8,76561198065562909,TheEvilGuy,in-game,https://steamcommunity.com/id/theevi1guy/,659,15,1057,0,1049,11/20/2025 17:36:07,acd451045b7eaab8bc2f0be541e0927601c11620,https://avatars.akamai.steamstatic.com/acd451045b7eaab8bc2f0be541e0927601c11620_full.jpg,https://steamcommunity.com/profiles/76561198065562909/recommended/2351890/,english,"Highly addictive and underrated, hope the EXP scaling can be easier though for late game",10/18/2025 10:26:51,10/18/2025 10:26:51,positive,1,0,0.523809552192688,0,True,False,False,False,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
9,206893603,9,76561197967633766,Hyperchrist 9000,offline,https://steamcommunity.com/profiles/76561197967633766/,0,9,3133,0,3038,04/06/2026 06:18:42,4ab3db0761bdfb0b02c32de00e0924e1270cf81a,https://avatars.akamai.steamstatic.com/4ab3db0761bdfb0b02c32de00e0924e1270cf81a_full.jpg,https://steamcommunity.com/profiles/76561197967633766/recommended/2351890/,english,"if you're actually reading this, it's a strong indicator that you should already be playing, so I recommend you go ahead and get that done.",10/17/2025 02:48:38,10/17/2025 02:48:38,positive,0,0,0.5,0,True,False,False,False,,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
10,206801370,10,76561198053854269,Dewkong,offline,https://steamcommunity.com/id/dewkong/,209,67,561,0,561,10/15/2025 20:16:55,efd5282a9e733ad22c67630a5ae3abb6e3de2a2d,https://avatars.akamai.steamstatic.com/efd5282a9e733ad22c67630a5ae3abb6e3de2a2d_full.jpg,https://steamcommunity.com/profiles/76561198053854269/recommended/2351890/,english,"Great game if you enjoy arena-shooter, bullet-heaven roguelites. Nothing groundbreaking in the genre, but it's really well-made. The perks are interesting and the weapon arsenal is diverse

The best thing about BloodDome is the art-style, I just love this retro pixel graphics. The soundtrack is an absolute banger too

Finished all achievements, it was fun!",10/15/2025 20:24:15,10/15/2025 20:25:15,positive,0,0,0.5,0,True,False,False,False,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
